,,Ken Darby,Alabama,Sr,"Draft (46, 2006)"
,WR,Mark Bradford,Stanford,Sr,"FA (Wk.8, 2005)"
,,Todd Blythe,Iowa State,Sr,Trade w/Mike 6-30-06
,,Cameron Colvin,Oregon,Jr.,Trade w/Mike 8-16-06
,,Patrick Turner,USC,So,"Draft (18, 2006)"
,,Sam Shields,Miami,Fr,"Draft (22, 2006)"
,TE,Zach Miller,Arizona State,Jr,"Draft (13th, 2005)"
,K,Ryan Pretorius,Ohio State,So,"Draft (xx, 2006)"
,D,Virginia Tech,Virginia Tech,,"Draft (42, 2006)"
Jon's,QB,Joe Ayoob,California,Sr,"Draft (9th, 2005)"
Hurricanes,,Brandon Cox,Auburn,Jr.,"FA (Wk.10, 2005)"
,,Troy Smith,Ohio State,Sr,"FA (Wk.12, 2004)"
,,Kyle Wright,Miami,Jr.,"Draft (10th, 2005)"
,,Drew Tate,Iowa  ,Sr,Trade (w/Jeff 8-19-06)
,RB,Lorenzo Booker,Florida State,Sr,"FA (Wk.7, 2004)"
,,Justin Forsett,California,Jr.,"FA (Wk.3, 2005)"
,,Kenny Irons,Auburn,Sr,"FA (Wk.7, 2005)"
,,Branden Ore,Virginia Tech,So.,"FA (Wk.6, 2005)"
,,Antonio Pittman,Ohio State,Jr.,"Draft (46th, 2005)"
,,Thomas Brown,Georgia,Jr.,"Draft (36, 2006)"
,WR,Chris Davis,Florida State,Sr,"Draft (88th, 2005)"
,,Joel Filani,Texas Tech,Sr,"FA (Wk.4, 2005)"
,,Ted Ginn Jr.,Ohio State,Jr.,"FA (Wk.10, 2004)"
,,Dj Hall,Alabama,Jr.,"FA (Wk.5, 2005)"
,,Quan Cosby,Texas,So.,"FA (Wk 11, 2005)"
,,Robert Johnson,Texas Tech,Sr,Trade w/Derek 8-19-06
,,Steve Smith,USC,Sr,"Draft (6, 2006)"
,,Billy Pittman,Texas,Jr.,"Draft (12, 2006)"
,TE,Scott Chandler,Iowa,Sr,"Draft (28, 2006)"
,K,Mario Danelo,USC,Jr.,"Draft (60, 2006)"
,D,Florida ,Florida,,"Draft (44, 2006)"
